date,neural net|0,neural net|1,neural net|2,neural net|3,neural net|4,neural net|5,neural net|6,neural net|7,neural net|8,neural net|9,neural net|10,neural net|11,neural net|12,neural net|13,neural net|14,neural net|15,neural net|16,neural net|17,neural net|18,neural net|19,neural net|20,neural net|21,neural net|22,neural net|23
2017-10-21,773.9034,779.5496,705.3036,707.9464,771.8209,685.8117,626.3751,525.16626,601.5275,623.182,672.675,705.2836,715.8318,752.6098,782.30035,806.6693,802.4265,882.76245,872.1245,761.7338,842.8335599999998,755.7942,734.7111,781.79
2017-10-22,786.5278,777.31445,731.6729,776.2363,686.8599,670.7801,669.9891,618.30084,640.387,617.1365,724.51,663.96344,682.5103,711.1367,709.8462,703.11334,756.84906,794.1507,807.8637,753.9087,789.7533599999998,731.9018,701.6737,797.3504
2017-10-23,742.5880000000002,560.30444,666.8984,805.3985,605.1855,567.8087,676.3613,785.66,656.88916,657.6997,622.4573,745.3655,897.4993,809.8659,740.28143,718.71185,741.755,691.0944,651.2998,667.01886,601.1504,569.1866,647.83887,699.55365
2017-10-24,842.8788,877.2009,855.5699,832.93195,633.21826,544.98236,565.3028,384.62027,510.261,576.0447,612.4631,682.6759,790.85834,814.54,884.0981,836.0917,918.1625,852.4343,798.3024,816.7127,733.66693,762.5963,751.55896,790.4415
2017-10-25,767.959,704.628,737.93066,662.1568,637.559,634.6051,567.4964,614.3419,639.8332,721.2745,720.2398,764.5261,753.43353,731.7717,862.8719,743.7203,783.3738,794.18024,768.07983,675.8253,737.1888,589.6201,760.9644,666.75977
2017-10-26,723.5735,681.02356,680.9549599999998,647.94965,678.3179299999998,575.4492,516.1876,541.61176,508.94373,626.9767,602.1303,662.7294,628.0105599999998,819.1978,890.57666,792.04156,744.5437599999998,815.2414,690.66,660.9437,635.96045,623.3873,748.4894400000002,762.0445
2017-10-27,743.5132,565.4358,556.4961,737.48926,787.40845,550.6526,562.18243,531.7972,505.82834,484.3185,626.797,798.6377,788.0931,703.6049,724.4909700000002,767.3316,696.02765,751.0016,727.8349,676.0945,646.6355599999998,584.95746,642.34485,624.845
2017-10-28,746.68744,668.3091,697.5807,772.98236,618.9711,431.89578,697.0454,566.04095,535.02747,485.2957,642.67676,683.3389,864.1229,874.2015,899.3359,789.15027,740.4074,768.1848,741.82294,677.2134,750.6769400000002,779.7085,765.0023,698.6231700000002
2017-10-29,784.5930000000002,667.3269700000002,745.92926,685.6319,647.55457,550.5165,616.689,871.21045,834.9731400000002,610.44965,751.52124,627.9038,571.55994,665.28107,623.0658,481.12103,635.8397,655.26306,592.48663,594.965,596.928,654.57855,656.9639999999998,519.30066
2017-10-30,743.2931,727.3387,673.51276,816.60834,728.1706,653.02405,630.9337,577.0054,601.14124,631.2629,699.8619,765.3581,690.7187,703.5418,844.7059,748.7077,766.9409,737.5882,766.0774,841.0361,655.22235,742.9942,769.36487,849.33276
2017-10-31,806.0804400000002,745.16925,712.8887,734.81036,657.8411,559.92224,569.90076,592.9351,539.97125,578.81104,686.0591,702.76733,770.9859,720.7335,679.4877299999998,722.26685,713.9494599999998,681.5619,704.0563400000002,695.1038,625.63446,675.1187,658.2019,700.67944
2017-11-01,667.72644,627.2047,652.59393,719.6831,675.11414,683.44604,591.5279,548.5645,539.5779,579.0211,638.2459,678.5686599999998,772.7306,683.94507,708.6907,701.9938,767.22705,676.0029,705.18036,596.9732700000002,689.0522,582.1667,580.65155,590.0591400000002
2017-11-02,605.1275,605.66895,639.8132,675.2040400000002,738.16034,737.38385,656.9667400000002,667.6321,730.94635,615.2459,680.6337,754.4808,634.50085,556.2647,692.66223,666.8179,766.1872599999998,679.2481,670.1683,667.51904,708.0777,655.7590299999998,695.01764,681.9657599999998
2017-11-03,757.44824,708.7855,733.38776,721.57825,672.0090299999998,744.63367,552.5063,621.3677,638.79706,617.0431,596.1738,642.991,618.98645,693.737,830.96326,826.607,811.7698,782.38684,732.27985,709.1598,792.28955,662.6566,711.0521,697.85767
2017-11-04,618.71454,534.768,695.80646,643.4717400000002,590.9003,652.1908,612.066,568.2171599999998,715.8714,688.4341,489.48004,659.1684,751.8552,718.41486,631.6481,607.5211,706.3591299999998,627.6402,726.6178,744.13104,702.88055,699.0862,769.8343,667.6211
2017-11-05,653.8696,665.2626,724.76404,678.00275,665.3673,803.2539999999998,683.3191,643.59875,696.89215,731.77484,786.50085,758.9349,653.70654,676.3527,799.1319599999998,726.0641,841.5578,685.1277,690.69507,759.5086,709.9773,702.5221,713.2322,753.40955
2017-11-06,779.07196,706.8943,712.8691,748.6659,721.9614,683.1442,566.8566,524.8203,509.32095,547.05756,602.99194,701.3893,659.66986,698.81165,859.414,831.8473,756.17346,804.0783700000002,701.88226,739.47003,755.9115,597.745,684.5464,670.3436
2017-11-07,699.7438,621.22485,758.2310000000001,663.5115400000002,581.2644,572.5474,464.9062,454.89307,435.17786,471.01828,511.12088,627.9329,633.2474,713.2304,749.36505,700.7274,764.9988,718.41095,658.3392,737.7452,737.0318599999998,544.64185,597.4607,653.1166
2017-11-08,779.81464,644.8162,739.4042,635.6429400000002,612.1632,677.1172,634.4095,645.79846,687.1455,691.6711,684.00085,685.35236,603.52234,612.492,566.6424599999998,684.74414,795.49963,733.51624,703.7125,681.8873,737.9775,753.8795,707.5269999999998,739.3775
2017-11-09,737.1218,856.2907,814.1296,700.38214,583.6457,667.9063,635.2083,616.83295,735.7661,671.8571,554.66016,631.57166,723.4919,818.66296,738.96704,722.37665,787.67395,723.3335599999998,750.2649,852.8273300000002,812.7973599999998,852.7130000000002,751.4187599999998,837.07526
2017-11-10,670.36743,775.40393,645.1268,694.7074,673.95013,646.27576,551.219,329.84668,523.61383,566.2046,535.39105,634.1062,724.9948,770.20953,860.52704,901.5673,774.4309,812.5155,821.2860000000002,810.1768,742.2034,603.1404,739.95746,687.1485
